GO_ID	name	namespace	observed	expected	fold_enrichment	p_value	total_study_annotations	background_size	p_fdr_bh	significant
GO:0016874	ligase activity	molecular_function	12	0.9210964607911173	13.027951480449032	0.0	39819	43230	0.0	True
GO:0031974	membrane-enclosed lumen	cellular_component	13	0.9210964607911173	14.113614103819785	0.0	39819	43230	0.0	True
GO:0070013	intracellular organelle lumen	cellular_component	13	0.9210964607911173	14.113614103819785	0.0	39819	43230	0.0	True
GO:0043233	organelle lumen	cellular_component	13	0.9210964607911173	14.113614103819785	0.0	39819	43230	0.0	True
GO:0005759	mitochondrial matrix	cellular_component	7	0.9210964607911173	7.599638363595268	0.0	39819	43230	0.0	True
GO:0006898	receptor-mediated endocytosis	biological_process	6	0.9210964607911173	6.513975740224516	0.0	39819	43230	0.0	True
GO:0042562	hormone binding	molecular_function	6	0.9210964607911173	6.513975740224516	0.0	39819	43230	0.0	True
GO:0008061	chitin binding	molecular_function	8	0.9210964607911173	8.685300986966022	0.0	39819	43230	0.0	True
GO:0005509	calcium ion binding	molecular_function	30	0.9210964607911173	32.569878701122576	0.0	39819	43230	0.0	True
GO:0043235	receptor complex	cellular_component	33	0.9210964607911173	35.82686657123484	0.0	39819	43230	0.0	True
GO:0005576	extracellular region	cellular_component	35	0.9210964607911173	37.99819181797634	0.0	39819	43230	0.0	True
GO:0098590	plasma membrane region	cellular_component	24	0.9210964607911173	26.055902960898063	0.0	39819	43230	0.0	True
GO:0016324	apical plasma membrane	cellular_component	8	0.9210964607911173	8.685300986966022	0.0	39819	43230	0.0	True
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	molecular_function	24	0.9210964607911173	26.055902960898063	0.0	39819	43230	0.0	True
GO:0050660	flavin adenine dinucleotide binding	molecular_function	21	0.9210964607911173	22.798915090785805	0.0	39819	43230	0.0	True
GO:0008202	steroid metabolic process	biological_process	16	0.9210964607911173	17.370601973932043	0.0	39819	43230	0.0	True
GO:0120254	olefinic compound metabolic process	biological_process	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0042180	ketone metabolic process	biological_process	13	0.9210964607911173	14.113614103819785	0.0	39819	43230	0.0	True
GO:0008207	C21-steroid hormone metabolic process	biological_process	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0042448	progesterone metabolic process	biological_process	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0042445	hormone metabolic process	biological_process	25	0.9210964607911173	27.141565584268815	0.0	39819	43230	0.0	True
GO:0006633	fatty acid biosynthetic process	biological_process	43	0.9210964607911173	46.68349280494236	0.0	39819	43230	0.0	True
GO:0006636	unsaturated fatty acid biosynthetic process	biological_process	7	0.9210964607911173	7.599638363595268	0.0	39819	43230	0.0	True
GO:0016717	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	molecular_function	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0016215	acyl-CoA desaturase activity	molecular_function	7	0.9210964607911173	7.599638363595268	0.0	39819	43230	0.0	True
GO:0004768	stearoyl-CoA 9-desaturase activity	molecular_function	7	0.9210964607911173	7.599638363595268	0.0	39819	43230	0.0	True
GO:0005789	endoplasmic reticulum membrane	cellular_component	49	0.9210964607911173	53.19746854516688	0.0	39819	43230	0.0	True
GO:0033619	membrane protein proteolysis	biological_process	3	0.9210964607911173	3.256987870112258	0.0	39819	43230	0.0	True
