GO_ID	GO_Type	Study_Count	Study_Total	Population_Count	Population_Total	Fold_Enrichment	P_Value	Odds_Ratio	GO_Term	FDR_P_Value
GO:0004373	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity	0.3586883889649028
GO:0051997	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity	0.3586883889649028
GO:0005104	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	fibroblast growth factor receptor binding	0.3586883889649028
GO:0008311	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	double-stranded DNA 3'-5' DNA exonuclease activity	0.3586883889649028
GO:0004349	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	glutamate 5-kinase activity	0.3586883889649028
GO:0070530	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	K63-linked polyubiquitin modification-dependent protein binding	0.3586883889649028
GO:0016212	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	kynurenine-oxoglutarate transaminase activity	0.3586883889649028
GO:0008349	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	MAP kinase kinase kinase kinase activity	0.3586883889649028
GO:0030020	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	extracellular matrix structural constituent conferring tensile strength	0.3586883889649028
GO:0170057	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	RNA ligase (GTP) activity	0.3586883889649028
GO:0004482	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	mRNA 5'-cap (guanine-N7-)-methyltransferase activity	0.3586883889649028
GO:0097363	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	protein O-acetylglucosaminyltransferase activity	0.3586883889649028
GO:0008446	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	GDP-mannose 4,6-dehydratase activity	0.3586883889649028
GO:0019900	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	kinase binding	0.3586883889649028
GO:0030553	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	cGMP binding	0.3586883889649028
GO:0015254	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	glycerol channel activity	0.3586883889649028
GO:0005547	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phosphatidylinositol-3,4,5-trisphosphate binding	0.3586883889649028
GO:0043047	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	single-stranded telomeric DNA binding	0.3586883889649028
GO:0070063	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	RNA polymerase binding	0.3586883889649028
GO:0098882	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	structural constituent of presynaptic active zone	0.3586883889649028
GO:0043812	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phosphatidylinositol-4-phosphate phosphatase activity	0.3586883889649028
GO:0070492	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	oligosaccharide binding	0.3586883889649028
GO:0004505	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phenylalanine 4-monooxygenase activity	0.3586883889649028
GO:0035240	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	dopamine binding	0.3586883889649028
GO:0016597	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	amino acid binding	0.3586883889649028
GO:0008609	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	alkylglycerone-phosphate synthase activity	0.3586883889649028
GO:0005223	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	intracellularly cGMP-activated cation channel activity	0.3586883889649028
GO:0008455	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	0.3586883889649028
GO:0004644	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phosphoribosylglycinamide formyltransferase activity	0.3586883889649028
GO:0005326	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	neurotransmitter transmembrane transporter activity	0.3586883889649028
GO:0003906	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	DNA-(apurinic or apyrimidinic site) endonuclease activity	0.3586883889649028
GO:0051880	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	G-quadruplex DNA binding	0.3586883889649028
GO:0008331	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	high voltage-gated calcium channel activity	0.3586883889649028
GO:0051731	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	polynucleotide 5'-hydroxyl-kinase activity	0.3586883889649028
GO:0010314	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phosphatidylinositol-5-phosphate binding	0.3586883889649028
GO:0015054	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	gastrin receptor activity	0.3586883889649028
GO:0005520	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	insulin-like growth factor binding	0.3586883889649028
GO:0004573	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	Glc3Man9GlcNAc2 oligosaccharide glucosidase activity	0.3586883889649028
GO:0061775	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	cohesin loader activity	0.3586883889649028
GO:0004140	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	dephospho-CoA kinase activity	0.3586883889649028
GO:0003844	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	1,4-alpha-glucan branching enzyme activity	0.3586883889649028
GO:0034647	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	histone H3K4me/H3K4me2/H3K4me3 demethylase activity	0.3586883889649028
GO:0000030	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	mannosyltransferase activity	0.3586883889649028
GO:0047223	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity	0.3586883889649028
GO:0004152	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	dihydroorotate dehydrogenase activity	0.3586883889649028
GO:0043992	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	histone H3K9 acetyltransferase activity	0.3586883889649028
GO:0042285	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	xylosyltransferase activity	0.3586883889649028
GO:0036431	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	dCMP kinase activity	0.3586883889649028
GO:0050104	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	L-gulonate 3-dehydrogenase activity	0.3586883889649028
GO:0097020	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	COPII receptor activity	0.3586883889649028
GO:0005222	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	intracellularly cAMP-activated cation channel activity	0.3586883889649028
GO:0140662	F	5	1080	22	8571	1.8036616161616161	0.13443426599791305	2.0448700410396716	ATP-dependent protein folding chaperone	0.38051732918053355
GO:0004714	F	10	1080	55	8571	1.442929292929293	0.14755435084702065	1.546417445482866	transmembrane receptor protein tyrosine kinase activity	0.415307470642457
GO:0003723	F	33	1080	218	8571	1.2013379204892967	0.14938357251329806	1.2447301169364207	RNA binding	0.41810709401766666
GO:0004383	F	3	1080	11	8571	2.1643939393939395	0.15227005224458864	2.60550139275766	guanylate cyclase activity	0.4238183120807717
GO:0008194	F	5	1080	23	8571	1.7252415458937198	0.15500509801461035	1.9310077519379845	UDP-glycosyltransferase activity	0.42904726025038553
GO:0004181	F	4	1080	17	8571	1.8673202614379085	0.15737673045980302	2.138404346582785	metallocarboxypeptidase activity	0.43085104896372306
