GO_ID	GO_Type	Study_Count	Study_Total	Population_Count	Population_Total	Fold_Enrichment	P_Value	Odds_Ratio	GO_Term	FDR_P_Value
GO:0060076	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	excitatory synapse	0.4467496102077831
GO:0071942	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	XPC complex	0.4467496102077831
GO:0071782	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	endoplasmic reticulum tubular network	0.4467496102077831
GO:0048788	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	cytoskeleton of presynaptic active zone	0.4467496102077831
GO:0098982	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	GABA-ergic synapse	0.4467496102077831
GO:0030870	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	Mre11 complex	0.4467496102077831
GO:0005891	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	voltage-gated calcium channel complex	0.4467496102077831
GO:0000111	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	nucleotide-excision repair factor 2 complex	0.4467496102077831
GO:0030893	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	meiotic cohesin complex	0.4467496102077831
GO:0016589	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	NURF complex	0.4467496102077831
GO:0072380	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	TRC complex	0.4467496102077831
GO:0097541	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	axonemal basal plate	0.4467496102077831
GO:1990923	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	PET complex	0.4467496102077831
GO:0140672	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	ATAC complex	0.4467496102077831
GO:0005886	C	120	1080	868	8571	1.09715821812596	0.13769528699696168	1.1268382352941178	plasma membrane	0.4809059277207318
GO:0005765	C	6	1080	29	8571	1.6419540229885057	0.14977657607256167	1.8139421909157154	lysosomal membrane	0.5154076294261681
GO:0005615	C	39	1080	263	8571	1.1768377693282637	0.15579159067082193	1.2154050020584604	extracellular space	0.5260879275370558
GO:0098793	C	4	1080	17	8571	1.8673202614379085	0.15737673045980302	2.138404346582785	presynapse	0.5260879275370558
GO:0031902	C	6	1080	30	8571	1.5872222222222223	0.16853565288873013	1.7381284916201116	late endosome membrane	0.5313326926556362
GO:0016607	C	2	1080	6	8571	2.64537037037037	0.16869116280097762	3.472634508348794	nuclear speck	0.5313326926556362
GO:0032991	C	4	1080	18	8571	1.7635802469135802	0.18339375983077472	1.9853956452469463	protein-containing complex	0.5313326926556362
GO:0000151	C	3	1080	12	8571	1.9840277777777777	0.18501653850101238	2.3156917363045495	ubiquitin ligase complex	0.5313326926556362
GO:0032589	C	3	1080	12	8571	1.9840277777777777	0.18501653850101238	2.3156917363045495	neuron projection membrane	0.5313326926556362
GO:0031901	C	2	1080	7	8571	2.2674603174603174	0.217282566250123	2.7777365491651205	early endosome membrane	0.5313326926556362
GO:0005793	C	2	1080	7	8571	2.2674603174603174	0.217282566250123	2.7777365491651205	endoplasmic reticulum-Golgi intermediate compartment	0.5313326926556362
GO:0005921	C	3	1080	13	8571	1.8314102564102563	0.2193676370177403	2.083844011142061	gap junction	0.5313326926556362
GO:0000775	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	chromosome, centromeric region	0.5313326926556362
GO:0032783	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	super elongation complex	0.5313326926556362
GO:0030660	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	Golgi-associated vesicle membrane	0.5313326926556362
GO:0005801	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	cis-Golgi network	0.5313326926556362
GO:0005745	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	m-AAA complex	0.5313326926556362
GO:0019185	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	snRNA-activating protein complex	0.5313326926556362
GO:0071006	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	U2-type catalytic step 1 spliceosome	0.5313326926556362
GO:0043197	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	dendritic spine	0.5313326926556362
GO:0071339	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	MLL1 complex	0.5313326926556362
GO:0071819	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	DUBm complex	0.5313326926556362
GO:0070062	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	extracellular exosome	0.5313326926556362
GO:0005875	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	microtubule associated complex	0.5313326926556362
GO:0002178	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	palmitoyltransferase complex	0.5313326926556362
GO:0001405	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	PAM complex, Tim23 associated import motor	0.5313326926556362
GO:0031523	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	Myb complex	0.5313326926556362
GO:0000812	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	Swr1 complex	0.5313326926556362
GO:0072669	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	tRNA-splicing ligase complex	0.5313326926556362
GO:0031261	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	DNA replication preinitiation complex	0.5313326926556362
GO:0098978	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	glutamatergic synapse	0.5313326926556362
GO:0098574	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	cytoplasmic side of lysosomal membrane	0.5313326926556362
GO:0030132	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	clathrin coat of coated pit	0.5313326926556362
GO:0042709	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	succinate-CoA ligase complex	0.5313326926556362
GO:0009898	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	cytoplasmic side of plasma membrane	0.5313326926556362
GO:0097730	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	non-motile cilium	0.5313326926556362
GO:1990316	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	Atg1/ULK1 kinase complex	0.5313326926556362
GO:0000794	C	1	1080	2	8571	3.9680555555555554	0.236147863402505	6.941612604263207	condensed nuclear chromosome	0.5313326926556362
GO:0014069	C	2	1080	8	8571	1.9840277777777777	0.2668366438529198	2.3144712430426715	postsynaptic density	0.565303608703506
GO:0016342	C	2	1080	8	8571	1.9840277777777777	0.2668366438529198	2.3144712430426715	catenin complex	0.565303608703506
GO:0009897	C	2	1080	8	8571	1.9840277777777777	0.2668366438529198	2.3144712430426715	external side of plasma membrane	0.565303608703506
GO:0008076	C	2	1080	8	8571	1.9840277777777777	0.2668366438529198	2.3144712430426715	voltage-gated potassium channel complex	0.565303608703506
GO:0005643	C	2	1080	8	8571	1.9840277777777777	0.2668366438529198	2.3144712430426715	nuclear pore	0.565303608703506
GO:0005938	C	2	1080	8	8571	1.9840277777777777	0.2668366438529198	2.3144712430426715	cell cortex	0.565303608703506
GO:0005741	C	4	1080	21	8571	1.5116402116402117	0.26815684002602214	1.6343756833588454	mitochondrial outer membrane	0.565303608703506
GO:0005802	C	4	1080	22	8571	1.442929292929293	0.2978729675878242	1.543370508054523	trans-Golgi network	0.6077062445944302
GO:0043235	C	11	1080	73	8571	1.1958523592085235	0.3103364900761295	1.2329732339539516	receptor complex	0.6077062445944302
GO:0035267	C	2	1080	9	8571	1.7635802469135802	0.31634029188774526	1.983567452955208	NuA4 histone acetyltransferase complex	0.6077062445944302
GO:0005764	C	5	1080	30	8571	1.3226851851851853	0.32489735698509664	1.3890232558139535	lysosome	0.6077062445944302
GO:0030915	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	Smc5-Smc6 complex	0.6077062445944302
GO:0030991	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	intraciliary transport particle A	0.6077062445944302
GO:1990726	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	Lsm1-7-Pat1 complex	0.6077062445944302
GO:0005797	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	Golgi medial cisterna	0.6077062445944302
GO:0043232	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	intracellular membraneless organelle	0.6077062445944302
GO:0015934	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	large ribosomal subunit	0.6077062445944302
GO:0031416	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	NatB complex	0.6077062445944302
GO:0031526	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	brush border membrane	0.6077062445944302
GO:0005901	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	caveola	0.6077062445944302
GO:0008305	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	integrin complex	0.6077062445944302
GO:0005672	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	transcription factor TFIIA complex	0.6077062445944302
GO:0070822	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	Sin3-type complex	0.6077062445944302
GO:0005761	C	1	1080	3	8571	2.64537037037037	0.33242050986361993	3.4703429101019463	mitochondrial ribosome	0.6077062445944302
GO:0005758	C	2	1080	10	8571	1.587222222222222	0.3650200354791039	1.7353896103896105	mitochondrial intermembrane space	0.6371058124919567
GO:0042995	C	2	1080	10	8571	1.587222222222222	0.3650200354791039	1.7353896103896105	cell projection	0.6371058124919567
GO:0000785	C	6	1080	40	8571	1.1904166666666665	0.39129279532288797	1.225271114032205	chromatin	0.6371058124919567
GO:0005777	C	7	1080	48	8571	1.157349537037037	0.40171686137376705	1.1854158616143478	peroxisome	0.6371058124919567
GO:0012505	C	11	1080	79	8571	1.105028129395218	0.41057386110534877	1.1232735376657679	endomembrane system	0.6371058124919567
GO:0005763	C	2	1080	11	8571	1.442929292929293	0.4122978095312185	1.5423623995052567	mitochondrial small ribosomal subunit	0.6371058124919567
GO:0005770	C	2	1080	11	8571	1.442929292929293	0.4122978095312185	1.5423623995052567	late endosome	0.6371058124919567
GO:0000124	C	2	1080	11	8571	1.442929292929293	0.4122978095312185	1.5423623995052567	SAGA complex	0.6371058124919567
GO:0030672	C	2	1080	11	8571	1.442929292929293	0.4122978095312185	1.5423623995052567	synaptic vesicle membrane	0.6371058124919567
GO:0005964	C	1	1080	4	8571	1.9840277777777777	0.41656918509089486	2.3132530120481927	phosphorylase kinase complex	0.6371058124919567
GO:0000159	C	1	1080	4	8571	1.9840277777777777	0.41656918509089486	2.3132530120481927	protein phosphatase type 2A complex	0.6371058124919567
GO:0001725	C	1	1080	4	8571	1.9840277777777777	0.41656918509089486	2.3132530120481927	stress fiber	0.6371058124919567
